<<<PLURAL-NOUN>>>
player,players
restaurant,restaurants
comparison,comparisons
relation,relations
policy,policies
instance,instances
variety,varieties
bread,breads
son,sons
ambition,ambitions
girlfriend,girlfriends
length,lengths
industry,industries
medicine,medicines
department,departments
instruction,instructions
worker,workers
writer,writers
oven,ovens
error,errors
night,nights
freedom,freedoms
recommendation,recommendations
imagination,imaginations
application,applications
guidance,guidances
entertainment,entertainments
variety,varieties
tongue,tongues
drawing,drawings
instruction,instructions
complaint,complaints
guitar,guitars
efficiency,efficiencies
language,languages
painting,paintings
analyst,analysts
examination,examinations
definition,definitions
chocolate,chocolate
vehicle,vehicles
funeral,funerals
opinion,opinions
flight,flights
manager,managers
platform,platforms
impression,impressions
unit,units
virus,viruses
audience,audiences
presentation,presentations
editor,editors
tale,tales
presence,presences
chapter,chapters
ability,abilities
mode,modes
priority,priorities
possession,posessions
worker,workers
boyfriend,boyfriends
<<<PARTICIPLE>>>
wonder,wondering
impress,impressing
examine,examining
subject,subjecting
guide,guiding
combine,combining
entail,entailing
recognise,recognising
sense,sensing
learn,learning
appreciate,appreciating
happen,happening
land,landing
undergo,undergoing
facilitate,facilitating
criticize,criticizing
grasp,grasping
settle,settling
possess,posessing
represent,representing
<<<PAST-TENSE>>>
wonder,wondered
impress,impressed
examine,examined
subject,subjected
guide,guided
combine,combined
entail,entailed
recognise,recognized
sense,sensed
learn,learned
appreciate,appreciated
happen,happened
land,landed
undergo,undergone
facilitate,facilitated
criticize,criticized
grasp,grasped
settle,settled
possess,posessed
represent,represented
